# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Missing
5at33090	Missing
24at33090	Missing
255at33090	Missing
383at33090	Missing
1363at33090	Missing
1419at33090	Missing
1557at33090	Missing
1855at33090	Missing
4004at33090	Missing
4034at33090	Missing
4115at33090	Missing
5305at33090	Missing
5927at33090	Missing
6512at33090	Missing
6843at33090	Missing
7366at33090	Missing
8072at33090	Missing
9044at33090	Missing
9058at33090	Missing
9849at33090	Missing
10924at33090	Missing
11664at33090	Missing
11800at33090	Missing
12439at33090	Missing
13039at33090	Missing
13643at33090	Missing
15682at33090	Missing
16726at33090	Missing
18455at33090	Missing
18801at33090	Missing
21163at33090	Missing
21751at33090	Missing
21857at33090	Missing
22109at33090	Missing
22618at33090	Missing
22958at33090	Missing
23444at33090	Missing
23853at33090	Missing
24838at33090	Missing
25435at33090	Missing
26868at33090	Missing
27237at33090	Missing
27607at33090	Missing
28920at33090	Missing
31155at33090	Missing
31855at33090	Missing
32730at33090	Missing
32923at33090	Missing
33264at33090	Missing
34517at33090	Missing
35499at33090	Missing
35887at33090	Missing
36284at33090	Missing
37663at33090	Missing
37699at33090	Missing
39913at33090	Missing
40630at33090	Missing
41146at33090	Missing
41244at33090	Missing
42407at33090	Missing
43683at33090	Missing
43957at33090	Missing
44063at33090	Missing
44526at33090	Missing
46307at33090	Missing
48027at33090	Missing
48290at33090	Missing
48645at33090	Missing
49092at33090	Missing
50512at33090	Missing
50528at33090	Missing
51214at33090	Missing
51262at33090	Missing
52348at33090	Missing
52435at33090	Missing
52795at33090	Missing
53416at33090	Missing
53527at33090	Missing
55448at33090	Missing
57004at33090	Missing
58672at33090	Missing
60262at33090	Missing
62262at33090	Missing
63411at33090	Missing
63853at33090	Missing
64272at33090	Missing
65263at33090	Missing
67132at33090	Missing
67389at33090	Missing
68169at33090	Missing
68537at33090	Missing
68957at33090	Missing
69073at33090	Missing
69137at33090	Missing
69505at33090	Missing
69614at33090	Missing
70613at33090	Missing
71620at33090	Missing
72992at33090	Missing
74230at33090	Missing
74580at33090	Missing
74742at33090	Missing
75785at33090	Missing
76026at33090	Missing
76849at33090	Missing
79950at33090	Missing
83749at33090	Missing
84114at33090	Missing
84264at33090	Missing
87347at33090	Missing
87734at33090	Missing
88295at33090	Missing
88687at33090	Missing
88771at33090	Missing
89796at33090	Missing
90240at33090	Missing
90301at33090	Missing
90872at33090	Missing
92418at33090	Missing
92579at33090	Missing
95807at33090	Missing
96953at33090	Missing
97593at33090	Missing
101241at33090	Missing
101701at33090	Missing
102307at33090	Missing
103267at33090	Missing
103382at33090	Missing
104218at33090	Missing
104557at33090	Missing
104821at33090	Missing
104867at33090	Missing
105044at33090	Missing
105782at33090	Missing
105867at33090	Missing
106769at33090	Missing
106886at33090	Missing
107107at33090	Missing
107413at33090	Missing
108705at33090	Missing
109586at33090	Missing
109823at33090	Missing
110222at33090	Missing
110225at33090	Missing
111210at33090	Missing
111213at33090	Missing
111249at33090	Missing
111924at33090	Missing
112238at33090	Missing
112325at33090	Missing
112461at33090	Missing
112542at33090	Missing
113024at33090	Missing
114996at33090	Missing
115240at33090	Missing
115992at33090	Missing
116411at33090	Missing
116516at33090	Missing
116585at33090	Missing
116623at33090	Missing
117191at33090	Missing
117247at33090	Missing
