# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at33090	Missing
5at33090	Missing
24at33090	Missing
255at33090	Fragmented	Z_mays_g021210.t1	374.7	361	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Fragmented	Z_mays_g034356.t1	520.2	774	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Fragmented	Z_mays_g025672.t1	667.3	304	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Fragmented	Z_mays_g010935.t1	513.6	578	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Missing
1855at33090	Complete	Z_mays_g006758.t1	2227.2	1676	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	Z_mays_g023287.t1	158.0	765	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Missing
4115at33090	Fragmented	Z_mays_g015207.t1	501.1	281	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	Z_mays_g015217.t1	961.1	633	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Fragmented	Z_mays_g029976.t1	198.2	220	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Fragmented	Z_mays_g028935.t1	426.7	346	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	Z_mays_g012095.t1	162.8	117	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Missing
8072at33090	Fragmented	Z_mays_g022408.t1	231.9	174	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	Z_mays_g000089.t1	1059.6	705	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	Z_mays_g000682.t1	536.7	516	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Fragmented	Z_mays_g029356.t1	163.1	234	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Missing
11664at33090	Fragmented	Z_mays_g021570.t1	294.9	151	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	Z_mays_g001903.t1	1957.0	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Fragmented	Z_mays_g037027.t1	460.3	377	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Fragmented	Z_mays_g032404.t1	329.2	320	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
